count(10HZ),latitude,longitude,batteryPercent
560,59.405436,16.427578,90
561,59.405436,16.427578,90
562,59.405436,16.427578,90
563,59.405436,16.427578,90
564,59.405436,16.427578,90
565,59.405436,16.427578,90
566,59.405436,16.427578,90
567,59.405436,16.427578,90
568,59.405436,16.427578,90
569,59.405436,16.427578,90
570,59.405436,16.427578,90
571,59.405436,16.427578,90
572,59.405436,16.427578,90
573,59.405436,16.427579,90
574,59.405436,16.427579,90
575,59.405436,16.427579,90
576,59.405436,16.427579,90
577,59.405436,16.427579,90
578,59.405436,16.427579,90
579,59.405436,16.427579,90
580,59.405436,16.427579,90
581,59.405436,16.427579,90
582,59.405436,16.427579,90
583,59.405436,16.427579,90
584,59.405436,16.427579,90
585,59.405436,16.427579,90
586,59.405436,16.427579,90
587,59.405435,16.427579,90
588,59.405435,16.427579,90
589,59.405435,16.427579,90
590,59.405436,16.427579,90
591,59.405436,16.427579,90
592,59.405436,16.427579,90
593,59.405436,16.427579,90
594,59.405436,16.427579,90
595,59.405436,16.427579,90
596,59.405436,16.427579,90
597,59.405436,16.427579,90
